P,E,Q
0.025862069,5.013793103,0.264769192
0,4.960344828,0.259240127
0,5.155172414,0.253502418
0,5.389655172,0.365770259
0,5.405172414,0.105834652
0,5.336206897,0.187796956
0,5.560344828,0.187796956
0,5.55,0.187796956
0.070689657,5.270689655,0.187796956
0.079310347,5.3,0.187796956
0.065517242,5.167241379,0.172844138
7.191379341,5.384482759,0.158395544
2.727586197,5.227586207,0.158395544
9.120689676,5.29137931,0.172844138
9.463793089,5.136206897,0.172844138
5.015517235,5.5,0.158395544
0.356896552,5.184482759,0.258648969
0.487931033,5.144827586,0.207218232
0.758620703,5.662068966,0.145181426
0.022413794,5.767241379,0.207826777
0.343103449,5.74137931,0.208191904
0.051724138,5.80862069,0.208191904
0.212068966,5.682758621,0.207826777
0.513793096,5.784482759,0.19153516
0,5.784482759,0.174374194
0,5.831034483,0.18957043
0.765517244,5.89137931,0.219841192
0.479310339,5.648275862,0.235872003
1.763793113,5.306896552,0.235437328
2.668965494,5.34137931,0.235437328
1.899999998,5.517241379,0.228134789
0.643103455,5.637931034,0.228134789
0.946551715,6.268965517,0.279356883
